step,actic loss,critic loss,average distance,time
1320,-4.1737,2.6418,7.5718,0min2sec
1330,-4.1421,2.6306,7.5714,0min2sec
1340,-4.1096,2.6212,7.5707,0min2sec
1350,-4.0824,2.6118,7.5697,0min2sec
1360,-4.0543,2.6016,7.5688,0min2sec
1370,-4.0246,2.5917,7.5680,0min2sec
1380,-3.9947,2.5817,7.5675,0min2sec
1390,-3.9666,2.5720,7.5666,0min2sec
1400,-3.9380,2.5627,7.5659,0min2sec
1410,-3.9122,2.5535,7.5658,0min2sec
1420,-3.8863,2.5445,7.5653,0min2sec
1430,-3.8616,2.5357,7.5648,0min2sec
1440,-3.8333,2.5265,7.5645,0min2sec
1450,-3.8081,2.5177,7.5639,0min2sec
1460,-3.7821,2.5086,7.5631,0min2sec
1470,-3.7558,2.4994,7.5623,0min2sec
1480,-3.7302,2.4907,7.5616,0min2sec
1490,-3.7056,2.4820,7.5614,0min2sec
1500,-3.6822,2.4734,7.5611,0min2sec
1510,-3.6574,2.4648,7.5610,0min2sec
1520,-3.6325,2.4567,7.5604,0min2sec
1530,-3.6088,2.4489,7.5597,0min2sec
1540,-3.5862,2.4410,7.5589,0min2sec
1550,-3.5629,2.4334,7.5581,0min2sec
1560,-3.5415,2.4256,7.5574,0min2sec
1570,-3.5205,2.4181,7.5567,0min2sec
1580,-3.4980,2.4106,7.5559,0min2sec
1590,-3.4755,2.4029,7.5549,0min2sec
1600,-3.4542,2.3957,7.5539,0min2sec
1610,-3.4324,2.3883,7.5528,0min2sec
1620,-3.4117,2.3810,7.5518,0min2sec
1630,-3.3920,2.3738,7.5506,0min2sec
1640,-3.3718,2.3666,7.5497,0min2sec
1650,-3.3530,2.3600,7.5491,0min2sec
1660,-3.3294,2.3544,7.5483,0min2sec
1670,-3.3084,2.3485,7.5479,0min2sec
1680,-3.2887,2.3426,7.5475,0min2sec
1690,-3.2707,2.3361,7.5467,0min2sec
1700,-3.2508,2.3301,7.5459,0min2sec
1710,-3.2324,2.3240,7.5450,0min2sec
1720,-3.2154,2.3184,7.5446,0min2sec
1730,-3.1971,2.3131,7.5444,0min2sec
1740,-3.1796,2.3077,7.5443,0min2sec
1750,-3.1627,2.3026,7.5444,0min2sec
1760,-3.1464,2.2970,7.5441,0min2sec
1770,-3.1296,2.2912,7.5436,0min2sec
1780,-3.1107,2.2852,7.5431,0min2sec
1790,-3.0933,2.2784,7.5425,0min2sec
1800,-3.0757,2.2718,7.5416,0min2sec
1810,-3.0615,2.2644,7.5398,0min2sec
1820,-3.0426,2.2557,7.5352,0min2sec
1830,-3.0265,2.2461,7.5277,0min2sec
1840,-3.0129,2.2367,7.5195,0min2sec
1850,-2.9974,2.2266,7.5097,0min2sec
1860,-2.9811,2.2162,7.4986,0min2sec
1870,-2.9666,2.2060,7.4873,0min2sec
1880,-2.9506,2.1960,7.4757,0min2sec
1890,-2.9350,2.1861,7.4638,0min2sec
1900,-2.9199,2.1764,7.4512,0min2sec
1910,-2.9058,2.1666,7.4383,0min2sec
1920,-2.8906,2.1568,7.4253,0min2sec
1930,-2.8766,2.1472,7.4123,0min2sec
1940,-2.8619,2.1376,7.3993,0min2sec
1950,-2.8476,2.1282,7.3862,0min2sec
1960,-2.8339,2.1191,7.3730,0min2sec
1970,-2.8233,2.1102,7.3598,0min2sec
1980,-2.8103,2.1011,7.3461,0min2sec
1990,-2.7965,2.0918,7.3324,0min2sec
2000,-2.7837,2.0826,7.3188,0min2sec
2010,-2.7706,2.0734,7.3051,0min2sec
2020,-2.7571,2.0645,7.2916,0min2sec
2030,-2.7442,2.0555,7.2778,0min2sec
2040,-2.7313,2.0465,7.2642,0min2sec
2050,-2.7194,2.0376,7.2507,0min2sec
2060,-2.7074,2.0289,7.2371,0min2sec
2070,-2.6949,2.0201,7.2235,0min2sec
2080,-2.6831,2.0114,7.2098,0min2sec
2090,-2.6707,2.0026,7.1961,0min2sec
2100,-2.6584,1.9940,7.1826,0min2sec
2110,-2.6470,1.9855,7.1691,0min2sec
2120,-2.6359,1.9772,7.1560,0min2sec
2130,-2.6239,1.9688,7.1428,0min2sec
2140,-2.6122,1.9606,7.1299,0min2sec
2150,-2.6005,1.9523,7.1170,0min2sec
2160,-2.5893,1.9442,7.1041,0min2sec
2170,-2.5781,1.9361,7.0910,0min2sec
2180,-2.5666,1.9280,7.0782,0min2sec
2190,-2.5541,1.9201,7.0655,0min2sec
2200,-2.5444,1.9123,7.0530,0min2sec
2210,-2.5332,1.9045,7.0407,0min2sec
2220,-2.5223,1.8968,7.0284,0min2sec
2230,-2.5108,1.8892,7.0161,0min2sec
2240,-2.5001,1.8815,7.0039,0min2sec
2250,-2.4894,1.8738,6.9916,0min2sec
2260,-2.4791,1.8663,6.9795,0min2sec
2270,-2.4683,1.8588,6.9675,0min2sec
2280,-2.4589,1.8515,6.9557,0min2sec
2290,-2.4472,1.8445,6.9442,0min2sec
